local_code,text,table_name,parent_varname,local_code_system,code,display,code_system,comment
snomedct:399316002,Parieto-orbital projection,EnumSpatialQualifiers,,,399316002,Parieto-orbital projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399318001,Kovacs projection,EnumSpatialQualifiers,,,399318001,Kovacs projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399320003,Clements-Nakayama projection,EnumSpatialQualifiers,,,399320003,Clements-Nakayama projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399321004,Anterior emissive projection,EnumSpatialQualifiers,,,399321004,Anterior emissive projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399325008,Sagittal-oblique axial projection,EnumSpatialQualifiers,,,399325008,Sagittal-oblique axial projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399327000,Low-Beer projection,EnumSpatialQualifiers,,,399327000,Low-Beer projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399330007,Valdini projection,EnumSpatialQualifiers,,,399330007,Valdini projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399332004,Kurzbauer projection,EnumSpatialQualifiers,,,399332004,Kurzbauer projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399335002,Dorsoplantar projection,EnumSpatialQualifiers,,,399335002,Dorsoplantar projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399339008,Apical long axis,EnumSpatialQualifiers,,,399339008,Apical long axis,http://snomed.info/id/,LinkML gen-harmony
snomedct:399341009,Haas projection,EnumSpatialQualifiers,,,399341009,Haas projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399342002,Lilienfeld projection,EnumSpatialQualifiers,,,399342002,Lilienfeld projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399344001,Broden projection,EnumSpatialQualifiers,,,399344001,Broden projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399348003,Antero-posterior projection,EnumSpatialQualifiers,,,399348003,Antero-posterior projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399349006,Stenver's projection,EnumSpatialQualifiers,,,399349006,Stenver's projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399351005,Orbito-parietal projection,EnumSpatialQualifiers,,,399351005,Orbito-parietal projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399352003,Lateral-medial projection,EnumSpatialQualifiers,,,399352003,Lateral-medial projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399355001,Chausse projection,EnumSpatialQualifiers,,,399355001,Chausse projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399356000,Right anterior oblique projection,EnumSpatialQualifiers,,,399356000,Right anterior oblique projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399358004,Caldwell projection,EnumSpatialQualifiers,,,399358004,Caldwell projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399360002,Verticosubmental projection,EnumSpatialQualifiers,,,399360002,Verticosubmental projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399361003,Nuclear medicine projection,EnumSpatialQualifiers,,,399361003,Nuclear medicine projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399362005,Bertel projection,EnumSpatialQualifiers,,,399362005,Bertel projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399365007,Pearson projection,EnumSpatialQualifiers,,,399365007,Pearson projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399368009,Medio-lateral oblique projection,EnumSpatialQualifiers,,,399368009,Medio-lateral oblique projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399370000,Lysholm projection,EnumSpatialQualifiers,,,399370000,Lysholm projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399371001,Parasternal short axis view at the level of the mitral chords,EnumSpatialQualifiers,,,399371001,Parasternal short axis view at the level of the mitral chords,http://snomed.info/id/,LinkML gen-harmony
snomedct:399372008,Ferguson projection,EnumSpatialQualifiers,,,399372008,Ferguson projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:399488007,Midline (qualifier value),EnumSpatialQualifiers,,,399488007,Midline (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:408723005,Cranial LAO,EnumSpatialQualifiers,,,408723005,Cranial LAO,http://snomed.info/id/,LinkML gen-harmony
snomedct:408724004,Caudal LAO,EnumSpatialQualifiers,,,408724004,Caudal LAO,http://snomed.info/id/,LinkML gen-harmony
snomedct:408725003,Cranial RAO,EnumSpatialQualifiers,,,408725003,Cranial RAO,http://snomed.info/id/,LinkML gen-harmony
snomedct:408726002,Caudal RAO,EnumSpatialQualifiers,,,408726002,Caudal RAO,http://snomed.info/id/,LinkML gen-harmony
snomedct:421610009,Bottom,EnumSpatialQualifiers,,,421610009,Bottom,http://snomed.info/id/,LinkML gen-harmony
snomedct:421812003,Top,EnumSpatialQualifiers,,,421812003,Top,http://snomed.info/id/,LinkML gen-harmony
snomedct:422534007,Rafert-Long projection,EnumSpatialQualifiers,,,422534007,Rafert-Long projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:422568001,Moore projection,EnumSpatialQualifiers,,,422568001,Moore projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:422670003,Apple projection,EnumSpatialQualifiers,,,422670003,Apple projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:422795009,Neer projection,EnumSpatialQualifiers,,,422795009,Neer projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:422861003,Burman projection,EnumSpatialQualifiers,,,422861003,Burman projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:422954003,Stryker projection,EnumSpatialQualifiers,,,422954003,Stryker projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:422996004,Wolf projection,EnumSpatialQualifiers,,,422996004,Wolf projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:423091003,Colcher-Sussman projection,EnumSpatialQualifiers,,,423091003,Colcher-Sussman projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:423720000,Rafer projection,EnumSpatialQualifiers,,,423720000,Rafer projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:424086005,Hirtz Modification projection,EnumSpatialQualifiers,,,424086005,Hirtz Modification projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:424655003,Eraso Modification projection,EnumSpatialQualifiers,,,424655003,Eraso Modification projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:424811006,Danelius-Miller projection,EnumSpatialQualifiers,,,424811006,Danelius-Miller projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:424962005,Fisk projection,EnumSpatialQualifiers,,,424962005,Fisk projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:425030002,Kite projection,EnumSpatialQualifiers,,,425030002,Kite projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:425035007,Robert projection,EnumSpatialQualifiers,,,425035007,Robert projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:425042007,Rosenberg projection,EnumSpatialQualifiers,,,425042007,Rosenberg projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:425157002,Folio projection,EnumSpatialQualifiers,,,425157002,Folio projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:425188003,Garth projection,EnumSpatialQualifiers,,,425188003,Garth projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:441505008,Dorsopalmar projection,EnumSpatialQualifiers,,,441505008,Dorsopalmar projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:441555000,Inferomedial to superolateral oblique view,EnumSpatialQualifiers,,,441555000,Inferomedial to superolateral oblique view,http://snomed.info/id/,LinkML gen-harmony
snomedct:441672003,Dorso-ventral projection,EnumSpatialQualifiers,,,441672003,Dorso-ventral projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:441753009,Mammography view,EnumSpatialQualifiers,,,441753009,Mammography view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442361004,Stereoscopic view,EnumSpatialQualifiers,,,442361004,Stereoscopic view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442441009,Ventro-dorsal projection,EnumSpatialQualifiers,,,442441009,Ventro-dorsal projection,http://snomed.info/id/,LinkML gen-harmony
snomedct:442580003,Axillary tissue mammography view,EnumSpatialQualifiers,,,442580003,Axillary tissue mammography view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442581004,Nipple in profile mammography view,EnumSpatialQualifiers,,,442581004,Nipple in profile mammography view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442593008,Infra-mammary fold mammography view,EnumSpatialQualifiers,,,442593008,Infra-mammary fold mammography view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442594002,Right stereoscopic view,EnumSpatialQualifiers,,,442594002,Right stereoscopic view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442640004,Left stereoscopic view,EnumSpatialQualifiers,,,442640004,Left stereoscopic view,http://snomed.info/id/,LinkML gen-harmony
snomedct:442653001,Stereoscopic view incremented from baseline,EnumSpatialQualifiers,,,442653001,Stereoscopic view incremented from baseline,http://snomed.info/id/,LinkML gen-harmony
snomedct:442667005,Stereoscopic view decremented from baseline,EnumSpatialQualifiers,,,442667005,Stereoscopic view decremented from baseline,http://snomed.info/id/,LinkML gen-harmony
snomedct:443082005,Parasternal long axis view of right ventricular inflow tract,EnumSpatialQualifiers,,,443082005,Parasternal long axis view of right ventricular inflow tract,http://snomed.info/id/,LinkML gen-harmony
snomedct:443083000,Parasternal long axis view of right ventricular outflow tract,EnumSpatialQualifiers,,,443083000,Parasternal long axis view of right ventricular outflow tract,http://snomed.info/id/,LinkML gen-harmony
snomedct:443100003,Subcostal view of cardiac outlets directed anteriorly,EnumSpatialQualifiers,,,443100003,Subcostal view of cardiac outlets directed anteriorly,http://snomed.info/id/,LinkML gen-harmony
snomedct:443160001,Subcostal short axis view at papillary muscle level,EnumSpatialQualifiers,,,443160001,Subcostal short axis view at papillary muscle level,http://snomed.info/id/,LinkML gen-harmony
snomedct:443162009,Suprasternal coronal view,EnumSpatialQualifiers,,,443162009,Suprasternal coronal view,http://snomed.info/id/,LinkML gen-harmony
snomedct:443163004,Suprasternal sagittal view,EnumSpatialQualifiers,,,443163004,Suprasternal sagittal view,http://snomed.info/id/,LinkML gen-harmony
snomedct:443293000,Transgastric short axis view,EnumSpatialQualifiers,,,443293000,Transgastric short axis view,http://snomed.info/id/,LinkML gen-harmony
snomedct:443459002,Intramedullary,EnumSpatialQualifiers,,,443459002,Intramedullary,http://snomed.info/id/,LinkML gen-harmony
snomedct:443499004,Subcostal short axis view at mitral valve level,EnumSpatialQualifiers,,,443499004,Subcostal short axis view at mitral valve level,http://snomed.info/id/,LinkML gen-harmony
snomedct:443500008,Subcostal short axis view at venous inflow level,EnumSpatialQualifiers,,,443500008,Subcostal short axis view at venous inflow level,http://snomed.info/id/,LinkML gen-harmony
snomedct:443562002,Suprasternal long axis view of aortic arch,EnumSpatialQualifiers,,,443562002,Suprasternal long axis view of aortic arch,http://snomed.info/id/,LinkML gen-harmony
snomedct:443609003,Subcostal short axis view at aortic valve level,EnumSpatialQualifiers,,,443609003,Subcostal short axis view at aortic valve level,http://snomed.info/id/,LinkML gen-harmony
snomedct:443640005,Subcostal oblique coronal view,EnumSpatialQualifiers,,,443640005,Subcostal oblique coronal view,http://snomed.info/id/,LinkML gen-harmony
snomedct:443662005,Transesophageal four chamber view (qualifier value),EnumSpatialQualifiers,,,443662005,Transesophageal four chamber view (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:443698002,Transesophageal short axis view (qualifier value),EnumSpatialQualifiers,,,443698002,Transesophageal short axis view (qualifier value),http://snomed.info/id/,LinkML gen-harmony
snomedct:65424008,Contiguous,EnumSpatialQualifiers,,,65424008,Contiguous,http://snomed.info/id/,LinkML gen-harmony
snomedct:66459002,Unilateral,EnumSpatialQualifiers,,,66459002,Unilateral,http://snomed.info/id/,LinkML gen-harmony
